age,gender,norm_educ,norm_income,party,prefsep_welfare,welfare_support
66,Hombre,0.6,0.25,ndp,-1,Mantener o Reducir
30,Hombre,0.8,0.5,ndp,0,Mantener o Reducir
21,Mujer,0.6,0.25,cons,0,Mantener o Reducir
69,Hombre,1,0.5,cons,0,Mantener o Reducir
67,Mujer,0.6,0.25,other,0,Mantener o Reducir
30,Mujer,0.8,0.25,ndp,1,Aumentar
70,Hombre,0.3,0.25,other,1,Aumentar
71,Mujer,0.8,0.5,ndp,0,Mantener o Reducir
25,Hombre,0.8,0.25,ndp,0,Mantener o Reducir
65,Mujer,0.4,0.5,cons,0,Mantener o Reducir
55,Hombre,0.7,1,lib,0,Mantener o Reducir
67,Mujer,0.5,NA,ndp,-1,Mantener o Reducir
75,Mujer,0.8,NA,lib,-1,Mantener o Reducir
39,Hombre,0.8,0.25,lib,-1,Mantener o Reducir
34,Hombre,0.8,0.5,ndp,0,Mantener o Reducir
34,Hombre,0.8,0.25,ndp,0,Mantener o Reducir
44,Mujer,0.6,0.75,cons,-1,Mantener o Reducir
27,Mujer,0.8,0.5,lib,-1,Mantener o Reducir
60,Hombre,0.6,0,lib,1,Aumentar
23,Mujer,0.8,0.25,ndp,1,Aumentar
58,Mujer,0.5,0,ndp,0,Mantener o Reducir
45,Mujer,0.7,1,lib,1,Aumentar
35,Mujer,0.7,1,cons,0,Mantener o Reducir
34,Hombre,1,0.5,ndp,0,Mantener o Reducir
90,Hombre,0.5,0.25,cons,0,Mantener o Reducir
44,Mujer,0.5,0.5,lib,0,Mantener o Reducir
67,Mujer,0.9,0.5,ndp,1,Aumentar
60,Hombre,0.6,0,ndp,1,Aumentar
76,Mujer,0.4,0.25,cons,0,Mantener o Reducir
74,Hombre,0.8,0.75,lib,0,Mantener o Reducir
18,Mujer,0.4,NA,cons,0,Mantener o Reducir
71,Hombre,0.8,0.75,ndp,0,Mantener o Reducir
82,Mujer,0.7,0,cons,0,Mantener o Reducir
25,Mujer,0.8,0,other,1,Aumentar
51,Hombre,0.8,1,cons,0,Mantener o Reducir
71,Hombre,0.6,0.25,lib,0,Mantener o Reducir
31,Hombre,1,1,ndp,0,Mantener o Reducir
57,Hombre,0.5,1,cons,0,Mantener o Reducir
37,Hombre,0.8,0.75,cons,1,Aumentar
59,Hombre,0.6,1,cons,1,Aumentar
74,Mujer,0.5,0.25,lib,0,Mantener o Reducir
73,Hombre,0.6,1,cons,-1,Mantener o Reducir
20,Hombre,1,0.75,cons,1,Aumentar
37,Hombre,0.7,NA,lib,-1,Mantener o Reducir
31,Mujer,0.4,0,cons,1,Aumentar
31,Hombre,0.4,0.25,ndp,1,Aumentar
58,Mujer,0.8,0.25,ndp,0,Mantener o Reducir
50,Hombre,0.8,1,lib,0,Mantener o Reducir
75,Mujer,0.8,1,lib,1,Aumentar
61,Mujer,0.8,1,lib,0,Mantener o Reducir
45,Hombre,0.4,0.25,lib,-1,Mantener o Reducir
70,Mujer,0.5,0.25,cons,0,Mantener o Reducir
31,Hombre,0.8,0.25,cons,-1,Mantener o Reducir
65,Hombre,0.3,0,cons,0,Mantener o Reducir
20,Hombre,0.5,1,cons,0,Mantener o Reducir
42,Hombre,0.6,1,cons,-1,Mantener o Reducir
57,Hombre,0.4,0,cons,1,Aumentar
23,Hombre,0.3,NA,lib,-1,Mantener o Reducir
30,Hombre,0.9,1,other,1,Aumentar
53,Hombre,0.3,0.25,other,1,Aumentar
60,Mujer,0.8,0.25,lib,0,Mantener o Reducir
34,Mujer,0.8,0.5,lib,0,Mantener o Reducir
60,Hombre,1,0.5,ndp,0,Mantener o Reducir
31,Hombre,0.8,NA,cons,0,Mantener o Reducir
39,Hombre,0.7,0.25,ndp,1,Aumentar
67,Hombre,0.3,0.25,cons,0,Mantener o Reducir
18,Hombre,0.5,NA,other,0,Mantener o Reducir
64,Hombre,0.8,0.25,ndp,0,Mantener o Reducir
51,Hombre,0.5,0,cons,1,Aumentar
63,Hombre,0.6,0.25,ndp,1,Aumentar
68,Hombre,0.4,0,lib,1,Aumentar
54,Hombre,0.6,0.5,cons,-1,Mantener o Reducir
49,Hombre,0.8,0.75,lib,1,Aumentar
67,Hombre,0.7,0.25,cons,-1,Mantener o Reducir
20,Mujer,0.7,NA,cons,-1,Mantener o Reducir
84,Hombre,0.3,0.25,cons,1,Aumentar
24,Mujer,0.8,0,ndp,1,Aumentar
61,Mujer,0.6,0.25,lib,0,Mantener o Reducir
68,Hombre,0.8,0,ndp,1,Aumentar
25,Hombre,0.7,1,lib,0,Mantener o Reducir
63,Hombre,0.4,0.5,ndp,0,Mantener o Reducir
69,Hombre,0.8,0.25,lib,1,Aumentar
37,Hombre,0.8,0.5,cons,-1,Mantener o Reducir
79,Hombre,0.5,0.25,cons,-1,Mantener o Reducir
67,Hombre,0.5,0,ndp,1,Aumentar
55,Hombre,0.9,0,cons,1,Aumentar
58,Hombre,0.6,0,ndp,1,Aumentar
25,Hombre,0.8,0.25,ndp,1,Aumentar
33,Mujer,0.3,0.25,other,0,Mantener o Reducir
72,Mujer,0.7,0,cons,-1,Mantener o Reducir
45,Hombre,0.4,1,cons,-1,Mantener o Reducir
24,Mujer,0.6,0.5,lib,0,Mantener o Reducir
48,Mujer,0.4,0.25,ndp,-1,Mantener o Reducir
38,Hombre,0.8,0.75,lib,1,Aumentar
65,Hombre,0.7,0,ndp,1,Aumentar
78,Hombre,1,1,cons,0,Mantener o Reducir
32,Hombre,0.8,0.5,lib,0,Mantener o Reducir
31,Mujer,0.4,0,cons,0,Mantener o Reducir
37,Mujer,0.9,0.25,lib,1,Aumentar
67,Hombre,0.5,0.5,other,-1,Mantener o Reducir
69,Hombre,0.6,0,ndp,0,Mantener o Reducir
45,Hombre,0.9,0.25,ndp,0,Mantener o Reducir
68,Hombre,0.8,0.5,cons,0,Mantener o Reducir
30,Mujer,0.9,0.5,ndp,1,Aumentar
62,Mujer,0.8,0.25,ndp,0,Mantener o Reducir
69,Mujer,0.9,0.75,lib,0,Mantener o Reducir
22,Hombre,0.5,0.5,lib,-1,Mantener o Reducir
53,Hombre,0.5,0,ndp,1,Aumentar
77,Hombre,0.6,0.25,cons,-1,Mantener o Reducir
65,Mujer,0.4,0.5,ndp,1,Aumentar
