AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,P700I,P701$01,P701$02,P701$03,P701$04,P701$05,P701$10,P701$06,P701$07,P701$08,P701$09,P710I,P710$01,P710$02,P710$03,P710$04,P710$05,P710$06,P710$07,P710$08,P710$10,P710$11,P710$12,P710$13,P710$14,P710$15,P710$20,P710$21,P710$28,P710$29,P710$33,P710$34,TICUEST01,FACTOR
2025,07,015186,039,11,021801,2,2,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1169.93563992674
2025,07,015186,054,11,021801,2,2,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1169.93563992674
2025,07,015186,084,11,021801,2,2,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1169.93563992674
2025,07,015186,100,11,021801,2,2,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1169.93563992674
2025,07,015205,002,11,021809,2,2,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1303.6425700037
2025,07,015205,027,11,021809,2,2,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1303.6425700037
2025,07,015205,053,11,021809,2,2,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1303.6425700037
2025,07,015205,067,11,021809,2,2,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1303.6425700037
2025,07,015205,091,11,021809,2,2,02,0,0,1,0,0,0,0,0,0,0,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1303.6425700037
2025,07,015205,102,11,021809,2,2,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1303.6425700037
2025,07,015205,116,11,021809,2,2,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1303.6425700037
2025,07,015205,128,11,021809,2,2,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1303.6425700037
2025,07,015243,016,11,021809,2,2,01,1,0,0,0,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1169.93563974691
2025,07,015243,032,11,021809,2,2,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1169.93563974691
2025,07,015243,044,11,021809,2,2,02,0,0,1,0,0,0,0,0,0,0,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1169.93563974691
2025,07,015243,090,11,021809,2,2,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1169.93563974691
2025,07,015243,105,11,021809,2,2,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1169.93563974691
2025,07,015244,009,11,021809,2,2,02,0,0,1,0,0,0,0,0,0,0,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1567.16960114935
2025,07,015244,022,11,021809,2,2,01,0,0,1,0,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1567.16960114935
2025,07,015244,033,11,021809,2,2,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1567.16960114935
2025,07,015244,056,11,021809,2,2,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1567.16960114935
2025,07,015244,092,11,021809,2,2,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1567.16960114935
2025,07,015244,103,11,021809,2,2,01,1,0,1,0,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1567.16960114935
2025,07,015263,003,11,021101,2,4,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1567.16960114935
2025,07,015263,040,11,021101,2,4,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1567.16960114935
2025,07,015263,075,11,021101,2,4,01,0,0,1,0,0,0,0,0,0,0,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1567.16960114935
2025,07,015263,094,11,021101,2,4,01,0,0,1,0,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1567.16960114935
2025,07,015263,112,11,021101,2,4,01,0,0,1,0,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1567.16960114935
2025,07,015271,006,11,021103,2,6,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,594.229336393656
2025,07,015271,016,11,021103,2,6,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,594.229336393656
2025,07,015271,026,11,021103,2,6,01,0,0,0,0,0,1,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,594.229336393656
2025,07,015271,036,11,021103,2,6,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,594.229336393656
2025,07,015271,046,11,021103,2,6,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,594.229336393656
2025,07,015271,056,11,021103,2,6,01,1,0,1,0,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,594.229336393656
2025,07,015271,087,11,021103,2,6,01,0,0,1,0,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,594.229336393656
2025,07,015271,107,11,021103,2,6,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,594.229336393656
2025,07,015280,009,11,021503,5,8,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1051.91047762421
2025,07,015280,010,11,021503,5,8,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1051.91047762421
2025,07,015280,029,11,021503,5,8,02,1,0,1,0,0,0,0,0,0,0,02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1051.91047762421
2025,07,015280,030,11,021503,5,8,02,1,0,1,0,0,0,0,0,0,0,02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1051.91047762421
2025,07,015280,032,11,021503,5,8,02,1,0,1,0,0,0,0,0,0,0,02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1051.91047762421
2025,07,015280,033,11,021503,5,8,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1051.91047762421
2025,07,015280,034,11,021503,5,8,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1051.91047762421
2025,07,015300,009,11,020105,5,2,03,0,0,0,0,0,0,0,0,0,1,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1160.03866806325
